번호,상품사진_파일명,추가수집_파일명,중복유형,정렬후_픽셀상관계수,일치특징점,추가사진_겹침비율,상품사진_전체경로,추가수집_전체경로,추가수집_원본경로,추가수집_원본분할
11,003019.jpg,003677.jpg,동일 촬영 사진의 변형본,0.999278,522,0.848264,C:\ITDA_OCR_CODE\상품사진입니다\003019.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003677.jpg,Products-Real/evaluation/images/test_00416.jpg,real_evaluation
12,003099.jpg,003689.jpg,동일 촬영 사진의 변형본,0.997132,297,0.943771,C:\ITDA_OCR_CODE\상품사진입니다\003099.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003689.jpg,Products-Real/evaluation/images/test_00470.jpg,real_evaluation
13,003183.jpg,003708.jpg,동일 촬영 사진의 변형본,0.998449,411,0.920123,C:\ITDA_OCR_CODE\상품사진입니다\003183.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003708.jpg,Products-Real/evaluation/images/test_00540.jpg,real_evaluation
14,003221.jpg,003713.jpg,동일 촬영 사진의 변형본,0.919827,260,0.898584,C:\ITDA_OCR_CODE\상품사진입니다\003221.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003713.jpg,Products-Real/evaluation/images/test_00567.jpg,real_evaluation
15,003228.jpg,003716.jpg,동일 촬영 사진의 변형본,0.93721,84,0.936633,C:\ITDA_OCR_CODE\상품사진입니다\003228.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003716.jpg,Products-Real/evaluation/images/test_00573.jpg,real_evaluation
16,003245.jpg,003719.jpg,동일 촬영 사진의 변형본,0.953058,197,0.915633,C:\ITDA_OCR_CODE\상품사진입니다\003245.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003719.jpg,Products-Real/evaluation/images/test_00586.jpg,real_evaluation
17,003258.jpg,003724.jpg,동일 촬영 사진의 변형본,0.933519,144,0.894624,C:\ITDA_OCR_CODE\상품사진입니다\003258.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003724.jpg,Products-Real/evaluation/images/test_00598.jpg,real_evaluation
18,003271.jpg,003727.jpg,동일 촬영 사진의 변형본,0.997922,187,0.725509,C:\ITDA_OCR_CODE\상품사진입니다\003271.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003727.jpg,Products-Real/evaluation/images/test_00611.jpg,real_evaluation
19,003280.jpg,003729.jpg,동일 촬영 사진의 변형본,0.997554,148,0.806181,C:\ITDA_OCR_CODE\상품사진입니다\003280.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003729.jpg,Products-Real/evaluation/images/test_00619.jpg,real_evaluation
20,003289.jpg,003730.jpg,동일 촬영 사진의 변형본,0.996769,433,0.673086,C:\ITDA_OCR_CODE\상품사진입니다\003289.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003730.jpg,Products-Real/evaluation/images/test_00625.jpg,real_evaluation
21,003308.jpg,003738.jpg,동일 촬영 사진의 변형본,0.999115,444,0.884853,C:\ITDA_OCR_CODE\상품사진입니다\003308.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003738.jpg,Products-Real/evaluation/images/test_00644.jpg,real_evaluation
22,003320.jpg,003739.jpg,동일 촬영 사진의 변형본,0.995971,203,0.873603,C:\ITDA_OCR_CODE\상품사진입니다\003320.jpg,C:\ITDA_OCR_CODE\추가수집데이터\003739.jpg,Products-Real/evaluation/images/test_00651.jpg,real_evaluation
