image_id,image_path,fold,group_id,image_sha256
AMLC000017,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000017.jpg,1,sha256:2de003882fb28502e59f48acf2556dfd9fffa607b64d5edeb7b61c29db1fae7e,2de003882fb28502e59f48acf2556dfd9fffa607b64d5edeb7b61c29db1fae7e
AMLC000018,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000018.jpg,2,sha256:ffba13d9250664f3ede872530e16a4c17b67f884775cad754bd925d9c878b64b,ffba13d9250664f3ede872530e16a4c17b67f884775cad754bd925d9c878b64b
AMLC000019,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000019.jpg,4,sha256:b42382bd91172b4afb4996da9cc0f17b545a43a2098d4301e5b85851a2da781d,b42382bd91172b4afb4996da9cc0f17b545a43a2098d4301e5b85851a2da781d
AMLC000020,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000020.jpg,2,sha256:7b4c132da0548e51184f008b15b0452fd01bdbd0d8793fa29c4593001bc1b5bb,7b4c132da0548e51184f008b15b0452fd01bdbd0d8793fa29c4593001bc1b5bb
AMLC000021,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000021.jpg,1,sha256:b91ea70e876b60737bbbe65bc108298290fd2ae592e4bd6f3df34c0784d21716,b91ea70e876b60737bbbe65bc108298290fd2ae592e4bd6f3df34c0784d21716
AMLC000022,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000022.jpg,4,sha256:7b961e967db1c25e436a21a7e11cbc908bf5e5e18f07b1aae1316a3d3b40971c,7b961e967db1c25e436a21a7e11cbc908bf5e5e18f07b1aae1316a3d3b40971c
AMLC000023,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000023.jpg,2,sha256:0f6d1c8a5bdb3bca79b68af7611a9f3b6a7647ee17639ebe00ebd116472eb1ed,0f6d1c8a5bdb3bca79b68af7611a9f3b6a7647ee17639ebe00ebd116472eb1ed
AMLC000024,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000024.jpg,1,sha256:52ebe58beca50463e450c6a7b46593a84ebdb5e2293028cb6232c9535304d2ba,52ebe58beca50463e450c6a7b46593a84ebdb5e2293028cb6232c9535304d2ba
AMLC000025,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000025.jpg,1,sha256:8f1e6450d5a80b229fec449265e14d1822db5ad7182d2bedbc08ef1d8e276e2e,8f1e6450d5a80b229fec449265e14d1822db5ad7182d2bedbc08ef1d8e276e2e
AMLC000026,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000026.jpg,3,sha256:a3683f396e43fde9bb219afc9fb8b9f1013c174e93d876c017b47edb34ade3e9,a3683f396e43fde9bb219afc9fb8b9f1013c174e93d876c017b47edb34ade3e9
AMLC000027,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000027.jpg,1,sha256:26e64b62be6ee156148bcc98741977bb05b741e07488fa66b0404f3e22c35d3b,26e64b62be6ee156148bcc98741977bb05b741e07488fa66b0404f3e22c35d3b
AMLC000028,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000028.jpg,3,sha256:2cc5583190e1a23743cadb9ecf89fb2641d1f5fbc3507052e33e3ff35c4501ac,2cc5583190e1a23743cadb9ecf89fb2641d1f5fbc3507052e33e3ff35c4501ac
AMLC000029,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000029.jpg,3,sha256:c94b83fcaf6a91c46951a99a885098793664eb5540014385304688b295ee1263,c94b83fcaf6a91c46951a99a885098793664eb5540014385304688b295ee1263
AMLC000030,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000030.jpg,2,sha256:5bf95fce1c4a19a8b77e90b9fb753057983fa31723d55c20f2258c0337980e7d,5bf95fce1c4a19a8b77e90b9fb753057983fa31723d55c20f2258c0337980e7d
AMLC000031,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000031.jpg,4,sha256:b006087fa40d14474092864ee095e2a54b2177ff15d3eefe3009419faad97d09,b006087fa40d14474092864ee095e2a54b2177ff15d3eefe3009419faad97d09
AMLC000032,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000032.jpg,1,sha256:877933dcd7d48af236c573f8914a82f98ccf6dcecc8a356eba7cf76838e357c0,877933dcd7d48af236c573f8914a82f98ccf6dcecc8a356eba7cf76838e357c0
AMLC000033,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000033.jpg,1,sha256:81cdfb44a7848c03d6139402ad4b9743d1bcd280e1e8fd8c3d2736c05e354ece,81cdfb44a7848c03d6139402ad4b9743d1bcd280e1e8fd8c3d2736c05e354ece
AMLC000034,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000034.jpg,2,sha256:4a6178c6883888d40ae191fbd10bcc86c965996040f5c8eadd75c3376709e1b0,4a6178c6883888d40ae191fbd10bcc86c965996040f5c8eadd75c3376709e1b0
AMLC000035,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000035.jpg,3,sha256:b740c6ac0770854af97ec4f2d28b16a8b234b4479b1069ab982e20081e8cb88a,b740c6ac0770854af97ec4f2d28b16a8b234b4479b1069ab982e20081e8cb88a
AMLC000036,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000036.jpg,2,sha256:3a0606dd95b57f555d51ea348cd302a8a69bb4c1a83baeb24020c4e2b214f01f,3a0606dd95b57f555d51ea348cd302a8a69bb4c1a83baeb24020c4e2b214f01f
AMLC000037,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000037.jpg,1,sha256:98a52d7297a8fb0cf4fa2eb539d04a5098c8f8926e08cee34c2751813d48eafc,98a52d7297a8fb0cf4fa2eb539d04a5098c8f8926e08cee34c2751813d48eafc
AMLC000038,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000038.jpg,1,sha256:188349e4f3ea276854d44072e71cafe56294a787732a9453a23ef3fd2965af0a,188349e4f3ea276854d44072e71cafe56294a787732a9453a23ef3fd2965af0a
AMLC000039,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000039.jpg,3,sha256:9af8857ca262def37e28e126dbe944cd43e6c9407f3cabd63f30a4b847ff05f3,9af8857ca262def37e28e126dbe944cd43e6c9407f3cabd63f30a4b847ff05f3
AMLC000040,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000040.jpg,3,sha256:8a1b47d7988a33ed6f0c5a2cf258c0f2db61f5ddedc77c5cbe1c641ab8c585b9,8a1b47d7988a33ed6f0c5a2cf258c0f2db61f5ddedc77c5cbe1c641ab8c585b9
AMLC000041,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000041.jpg,2,sha256:5689c5155c4abf98a60560f8b755abb22271fdfd8dfedf2723c1d8df2bf41723,5689c5155c4abf98a60560f8b755abb22271fdfd8dfedf2723c1d8df2bf41723
AMLC000042,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000042.jpg,3,sha256:713653212b5aa4672e63fa845492c31f3594747c92dd6ff1fe37c67ad01b5975,713653212b5aa4672e63fa845492c31f3594747c92dd6ff1fe37c67ad01b5975
AMLC000043,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000043.jpg,3,sha256:4a210db4d323146a00bea1f566cb4fe809b24af206ad8a16ae53b4964967b665,4a210db4d323146a00bea1f566cb4fe809b24af206ad8a16ae53b4964967b665
AMLC000044,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000044.jpg,1,sha256:de045a291418676d3d1307aba5005361c1b6b5ea3282fc21feea64653193658f,de045a291418676d3d1307aba5005361c1b6b5ea3282fc21feea64653193658f
AMLC000045,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000045.jpg,2,sha256:ae11201fc755177cf8a676e24ad350901d24e064f5a75552abab2f2e2e0129fd,ae11201fc755177cf8a676e24ad350901d24e064f5a75552abab2f2e2e0129fd
AMLC000046,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000046.jpg,1,sha256:2c78d1cffd29ec95698221b5a632f7102b4a8709f205ce2e1c93cca51e8e44ce,2c78d1cffd29ec95698221b5a632f7102b4a8709f205ce2e1c93cca51e8e44ce
AMLC000047,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000047.png,1,sha256:376203a1cb386cf85d7e7f401d7a462e6f997cbe19133ca34c9235675d8b565f,376203a1cb386cf85d7e7f401d7a462e6f997cbe19133ca34c9235675d8b565f
AMLC000048,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000048.jpg,2,sha256:65d71c685cef18f276d5fdaceaccc9bf9042f2915a3c9e892934e84e6701db6a,65d71c685cef18f276d5fdaceaccc9bf9042f2915a3c9e892934e84e6701db6a
AMLC000049,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000049.jpg,1,sha256:81ebd6bbc63cb8b06d38606e88357e47b1264be517d99a3b054cb67c11c04cbd,81ebd6bbc63cb8b06d38606e88357e47b1264be517d99a3b054cb67c11c04cbd
AMLC000050,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000050.jpg,2,sha256:734dd7802b247bafac4195a6720e137af0c11fa7577080ec63b992cca0dfc939,734dd7802b247bafac4195a6720e137af0c11fa7577080ec63b992cca0dfc939
AMLC000051,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000051.jpg,1,sha256:673a8919ef972b12439a8cad2f4c3e3e3ab1bfeffe309ce5e04677bb5eab929b,673a8919ef972b12439a8cad2f4c3e3e3ab1bfeffe309ce5e04677bb5eab929b
AMLC000052,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000052.png,3,sha256:d44a814ceee2792d180780762fc50cebdee41f99c7f475f2dff725e2005d8642,d44a814ceee2792d180780762fc50cebdee41f99c7f475f2dff725e2005d8642
AMLC000053,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000053.png,2,sha256:42887bd3eaa0c79aba99fb1c35c11d73478d1bea426a9105a14652e53b3aa780,42887bd3eaa0c79aba99fb1c35c11d73478d1bea426a9105a14652e53b3aa780
AMLC000054,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000054.jpg,2,sha256:ce15691a6680c5dd56e4c547757947e969491dbd294981b98fc1393e085befbe,ce15691a6680c5dd56e4c547757947e969491dbd294981b98fc1393e085befbe
AMLC000055,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000055.jpg,4,sha256:bde739e3ef4c105944a56b512972eade044155d17a138fe6324c86197fd5d45e,bde739e3ef4c105944a56b512972eade044155d17a138fe6324c86197fd5d45e
AMLC000056,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000056.jpg,2,sha256:601be7e4c1310488e521fb7ca164782f11d02adaf3dc7796240727c12f51e8a7,601be7e4c1310488e521fb7ca164782f11d02adaf3dc7796240727c12f51e8a7
AMLC000057,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000057.jpg,1,sha256:14d7668d40cfe4c402b3ce384361a971806b8aaa917b070a46fe4c0ba7bc9a19,14d7668d40cfe4c402b3ce384361a971806b8aaa917b070a46fe4c0ba7bc9a19
AMLC000058,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000058.jpg,1,sha256:d5c2628a79effd7ce7c1e7c06bc3d93a4c2fc2a0539420ba2a40e218b4959b5f,d5c2628a79effd7ce7c1e7c06bc3d93a4c2fc2a0539420ba2a40e218b4959b5f
AMLC000059,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000059.jpg,3,sha256:9fd8f269211d5927ffcb49b294d0e346ee76cf7bddc335621e32ce21f4807010,9fd8f269211d5927ffcb49b294d0e346ee76cf7bddc335621e32ce21f4807010
AMLC000060,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000060.jpg,4,sha256:e005ff3588e9b894efec85660c956b72785dfc87ecb043bc070db0aabd4cc9e6,e005ff3588e9b894efec85660c956b72785dfc87ecb043bc070db0aabd4cc9e6
AMLC000061,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000061.jpg,3,sha256:7003504528285092ee87806428c67e76d6ba390af81c06f1ad8eb610b6468299,7003504528285092ee87806428c67e76d6ba390af81c06f1ad8eb610b6468299
AMLC000062,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000062.jpg,4,sha256:10c3ea6e97146bfde33e192505224470c50e05b69820dd386883d39cb3bae81f,10c3ea6e97146bfde33e192505224470c50e05b69820dd386883d39cb3bae81f
AMLC000063,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000063.jpg,4,sha256:a16395fcb030c6d01b952cff5058edb152ba28ab7dd501fc20bd8ccc10967226,a16395fcb030c6d01b952cff5058edb152ba28ab7dd501fc20bd8ccc10967226
AMLC000064,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000064.jpg,3,sha256:1ece21361d5a1bc3cde884e987928bbee34dabe13ba8462f5a7fa3193ebfff90,1ece21361d5a1bc3cde884e987928bbee34dabe13ba8462f5a7fa3193ebfff90
AMLC000065,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000065.jpg,4,sha256:d47cea68b9426ef6355c4b96aaa99422d7554c31b9d7b5f64982c6d28c3ecc80,d47cea68b9426ef6355c4b96aaa99422d7554c31b9d7b5f64982c6d28c3ecc80
AMLC000066,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000066.jpg,1,sha256:7a3a1a67c9d816c828756df8fb712c60e7abd08347a8da784b1384d88fa7f460,7a3a1a67c9d816c828756df8fb712c60e7abd08347a8da784b1384d88fa7f460
AMLC000067,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000067.jpg,4,sha256:9210517cf1fad7012cecf8be677dfe2b04352475c7150abf4908eac5dfc071ba,9210517cf1fad7012cecf8be677dfe2b04352475c7150abf4908eac5dfc071ba
AMLC000068,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000068.jpg,4,sha256:3cd27aca93b4ea96bdad1bb06020c60584f9d3dcee598ade676eeaba87b3a943,3cd27aca93b4ea96bdad1bb06020c60584f9d3dcee598ade676eeaba87b3a943
AMLC000069,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000069.jpg,2,sha256:1596358c7c3085f01a36f4ab8824fa1be56021eead5246f2160c07caf7c4767f,1596358c7c3085f01a36f4ab8824fa1be56021eead5246f2160c07caf7c4767f
AMLC000070,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000070.jpg,2,sha256:02c7b80916ee979043c27651db4059ee0ddcbf856b1128780e0ebb375cfafef3,02c7b80916ee979043c27651db4059ee0ddcbf856b1128780e0ebb375cfafef3
AMLC000071,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000071.jpg,4,sha256:a5e755309583f6c7fe590a8c602f6a5de6b616aadb367f06e0d3770517e97f14,a5e755309583f6c7fe590a8c602f6a5de6b616aadb367f06e0d3770517e97f14
AMLC000072,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000072.jpg,4,sha256:418e2b091ff6562b063a322703ca2a8ad9ebf46124064294072a54f2dfb47acb,418e2b091ff6562b063a322703ca2a8ad9ebf46124064294072a54f2dfb47acb
AMLC000073,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000073.jpg,1,sha256:d2790daf72681c235c5d6e3dc59c53f33c9058e65e4179454af6c13814c1d344,d2790daf72681c235c5d6e3dc59c53f33c9058e65e4179454af6c13814c1d344
AMLC000074,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000074.jpg,3,sha256:b64d306f3b72bb763c0fce2664bf0c70782420a21b7e00995aeeae1b53c269cc,b64d306f3b72bb763c0fce2664bf0c70782420a21b7e00995aeeae1b53c269cc
AMLC000075,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000075.jpg,3,sha256:1291633467e8e9c59eb397d33e37ab8616b3939619207b964ebcc548ded67cbd,1291633467e8e9c59eb397d33e37ab8616b3939619207b964ebcc548ded67cbd
AMLC000076,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000076.jpg,4,sha256:d6ce82296d6a2408ef93ddce0a796471c0a23efc4b384cb7f79ba25136eeea9b,d6ce82296d6a2408ef93ddce0a796471c0a23efc4b384cb7f79ba25136eeea9b
AMLC000077,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000077.jpg,2,sha256:9e3c6b130861e3aa17dc1a78d19c264ca0d089f876f385bee7357d567800ad64,9e3c6b130861e3aa17dc1a78d19c264ca0d089f876f385bee7357d567800ad64
AMLC000078,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000078.jpg,2,sha256:e7be75d6773afdbd80acbb19e010d5e226e42075de4f99120a29d9a82a811158,e7be75d6773afdbd80acbb19e010d5e226e42075de4f99120a29d9a82a811158
AMLC000079,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000079.jpg,2,sha256:4e6cd95d36e6818649db6d582b735d4cbcefe984155e8a542a0fcdd23ffd819e,4e6cd95d36e6818649db6d582b735d4cbcefe984155e8a542a0fcdd23ffd819e
AMLC000080,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000080.jpg,4,sha256:1c341d8720bfffec2bd05c5f01d2c3ddf6600d4216ac03ec5ae28f08f33facd5,1c341d8720bfffec2bd05c5f01d2c3ddf6600d4216ac03ec5ae28f08f33facd5
AMLC000081,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000081.jpg,4,sha256:1a1d3c014464048b63a6b3129167a43477e9efaa738d53322f6a490f50b47041,1a1d3c014464048b63a6b3129167a43477e9efaa738d53322f6a490f50b47041
AMLC000082,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000082.jpg,4,sha256:a87e5abb993a543498525efb0ce56b4a1ad0c1a8f11781b71024e243ed7ac80b,a87e5abb993a543498525efb0ce56b4a1ad0c1a8f11781b71024e243ed7ac80b
AMLC000083,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000083.jpg,3,sha256:b9f5d9d12359e91a5d727fae5cba5ad0c58e484f529d3df4d0aea90b3eac0bae,b9f5d9d12359e91a5d727fae5cba5ad0c58e484f529d3df4d0aea90b3eac0bae
AMLC000084,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000084.jpg,3,sha256:6a01fa6453602e2778b0846358d0306fcd6b9e11d9a9a1fa118a6b07102a5f35,6a01fa6453602e2778b0846358d0306fcd6b9e11d9a9a1fa118a6b07102a5f35
AMLC000085,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000085.jpg,2,sha256:facb662ddf55f6bd530858a173601e3013f81f3f056b4facea716c09dc71e1e1,facb662ddf55f6bd530858a173601e3013f81f3f056b4facea716c09dc71e1e1
AMLC000086,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000086.jpg,2,sha256:3b9ca3d1c1f9cc43147ec7fb264f8a871ac84e5c0c809e1f300922a8d445e896,3b9ca3d1c1f9cc43147ec7fb264f8a871ac84e5c0c809e1f300922a8d445e896
AMLC000087,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000087.jpg,2,sha256:9e14ca98745b5cff3f9255d515aa5655eba3c9697375dcd34e488172745350b7,9e14ca98745b5cff3f9255d515aa5655eba3c9697375dcd34e488172745350b7
AMLC000088,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000088.jpg,2,sha256:ee7c28bf27b3e08ded2b0e89257c96607ee02cb18109cce2a85c482635d2ea4b,ee7c28bf27b3e08ded2b0e89257c96607ee02cb18109cce2a85c482635d2ea4b
AMLC000089,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000089.jpg,1,sha256:93b84998c5ea0db7951632b8befb0c62f8b4a3793556246b06ebee5960290b65,93b84998c5ea0db7951632b8befb0c62f8b4a3793556246b06ebee5960290b65
AMLC000090,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000090.jpg,2,sha256:0dd265041ce4d8fecc6ff7690a67cb55afd94ba05860e531f04315f1b186eaf1,0dd265041ce4d8fecc6ff7690a67cb55afd94ba05860e531f04315f1b186eaf1
AMLC000091,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000091.jpg,1,sha256:5dd33fc410921d4cfe4c74671a67efd0462b3ad8f0c4c4e85a56233075f68c93,5dd33fc410921d4cfe4c74671a67efd0462b3ad8f0c4c4e85a56233075f68c93
AMLC000092,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000092.jpg,3,sha256:8517b423d1f357cde9b84ab33e572fb5dbfc9868d26f18b2c66c30a06e13414d,8517b423d1f357cde9b84ab33e572fb5dbfc9868d26f18b2c66c30a06e13414d
AMLC000093,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000093.jpg,3,sha256:27ddb50c4c00d6f88dba88a8763b019e479843764bde13877adf911c3befe223,27ddb50c4c00d6f88dba88a8763b019e479843764bde13877adf911c3befe223
AMLC000094,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000094.jpg,3,sha256:7543d50b04b4f69290e863f9eec3fa844ff2ca18384feffb785385b15b791f50,7543d50b04b4f69290e863f9eec3fa844ff2ca18384feffb785385b15b791f50
AMLC000095,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000095.jpg,1,sha256:8a79ab0c24038a1aa123de94019f3d339bfc16369c5d2e979ab09af9a580f1da,8a79ab0c24038a1aa123de94019f3d339bfc16369c5d2e979ab09af9a580f1da
AMLC000096,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000096.jpg,1,sha256:77c4dc91ec3bac096128c2e3f242c313ef3aef2d934a8265a9241c77e5fc18a8,77c4dc91ec3bac096128c2e3f242c313ef3aef2d934a8265a9241c77e5fc18a8
AMLC000097,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000097.jpg,4,sha256:195530d068edf21144d9354d35434a7418526eb9a5a963c1d93bc592b830c106,195530d068edf21144d9354d35434a7418526eb9a5a963c1d93bc592b830c106
AMLC000098,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000098.jpg,1,sha256:4b73bf7c997df26ef4348eb14254adaeee703d22412eb7cc317b2a336a266274,4b73bf7c997df26ef4348eb14254adaeee703d22412eb7cc317b2a336a266274
AMLC000099,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000099.jpg,3,sha256:7c9d01c0a55d9966fc81f75f4800f217fff1c8c1e0a59220bbd28bfe6697ded2,7c9d01c0a55d9966fc81f75f4800f217fff1c8c1e0a59220bbd28bfe6697ded2
AMLC000100,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000100.jpg,1,sha256:c182d9acf889a935b2c30eb2796ad2c1ddf7e2c923747309bc7a674d48cc017a,c182d9acf889a935b2c30eb2796ad2c1ddf7e2c923747309bc7a674d48cc017a
AMLC000101,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000101.jpg,4,sha256:400f994010eb5d72b398b3e1c2eec6c8c84f331a0942dd9625ca54257902a568,400f994010eb5d72b398b3e1c2eec6c8c84f331a0942dd9625ca54257902a568
AMLC000102,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000102.jpg,3,sha256:3d0cffb089d7b6ecb2e458dfbe1feb614509dffc8559acb736ee397cc613f7a9,3d0cffb089d7b6ecb2e458dfbe1feb614509dffc8559acb736ee397cc613f7a9
AMLC000103,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000103.jpg,4,sha256:72da8373eb3318f6ae8b1b2ba9f652a11733bbebb786206ffacea0b3de5e1e5a,72da8373eb3318f6ae8b1b2ba9f652a11733bbebb786206ffacea0b3de5e1e5a
AMLC000104,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000104.jpg,2,sha256:82f30dda7ca8ceba2d9a5448f09494bc8c014ca8db1a61f7398adb8dd6a5a1bb,82f30dda7ca8ceba2d9a5448f09494bc8c014ca8db1a61f7398adb8dd6a5a1bb
AMLC000105,C:\ITDA_OCR_CODE\학습대상데이터\AMLC000105.jpg,1,sha256:96d4cd38bd5020c33f32b70302352a375eef9f6d7084b1369046d35c5c9b187d,96d4cd38bd5020c33f32b70302352a375eef9f6d7084b1369046d35c5c9b187d
